Caption,Happy,Sad,Neutral,Man,Woman,Couple,Friends,Food,Fun,Love,Philosophy
Mập thì đẹp. Ốm thì dễ thương. Lòi xương thì dễ mến.,1,0,0,0,1,0,0,1,1,0,0
Yêu thương có thể lấp đầy hết tất cả chỉ trừ… bao tử.,1,0,0,0,0,0,0,1,1,0,0
Còn tình cảm nào chân thành hơn tình yêu dành cho thức ăn.,1,0,0,0,0,0,0,1,0,0,0
"Yêu là phải nói, cũng giống như đói cần phải ăn.",1,0,0,0,0,0,0,1,0,0,0
"Độc lập tự do, ăn no rồi ngủ.",1,0,0,0,0,0,0,1,1,0,0
Bi kịch của đời người là đam mê đặc biệt với ẩm thực nhưng lại tích cực giảm cân.,0,0,1,1,1,0,0,1,1,0,0
"Tiền là nhất, đồ ăn là nhì, vì không có tiền nên sẽ không có đồ ăn.",1,0,0,0,0,0,0,1,1,0,0
"Hãy cho tôi một đôi đũa, tôi sẽ ăn cả thế giới.",1,0,0,0,0,0,0,1,0,0,0
"Bố mẹ cho tiền ăn học, học không được thì cố mà ăn thôi.",1,0,0,0,0,0,0,1,1,0,0
Có một loại mất trí nhớ mang tính lựa chọn: Rốt cuộc thì hôm nay mình đã ăn chưa nhỉ.,1,0,0,0,0,0,0,1,0,0,0
"Ai mà biết trước được cuộc đời sẽ ra sao, thế nên hãy ăn món tráng miệng trước.",1,0,0,0,0,0,0,1,0,0,1
Chỉ nên ăn kiêng khi bạn đang chờ thịt được nấu chín mà thôi.,1,0,0,0,0,0,0,1,1,0,0
Mọi hạnh phúc trên đời đều xuất phát từ một bữa ăn sáng nhàn nhã.,1,0,0,0,0,0,0,1,0,0,0
Đồ ăn chính là biểu tượng của tình yêu khi không còn từ ngữ nào để diễn tả.,0,0,1,0,0,0,0,1,0,0,1
Sáng nào cũng ăn phở thì bảo sao ngày ngày đều nhớ về bóng hình anh!,1,0,0,0,1,0,0,1,0,0,0
"Tình yêu chỉ là hạt cát, vì đồ ăn đã lấn át tình yêu.",1,0,0,0,0,0,0,1,1,0,0
"Có lẽ cô đơn lâu quá khiến người ta trở nên dễ tính, chỉ cần một ánh mắt cũng đủ làm ta thao thức cả đêm.",1,0,0,1,1,0,0,1,0,1,1
"Nếu như ăn là sai, thì tôi đây không cần đúng.",1,0,0,0,0,0,0,1,1,0,1
Mỗi lần tôi giảm cân mà thèm ăn tôi đều tự nói với bản thân: “Ăn nữa sẽ chết!”. Và kết quả chứng minh: Căn bản là tôi không hề sợ chết!,1,0,0,0,0,0,0,1,1,0,0
Em không còn là một cô gái đợi anh nữa. Giờ em là cô gái đợi ăn.,1,0,0,0,1,0,0,1,1,0,0
"Em cũng chỉ là con gái thôi. Buồn là ăn, không ăn là buồn.",1,0,0,0,0,0,0,1,1,0,0
"Đừng yêu người chỉ biết nói lời ngon tiếng ngọt, hãy yêu người nấu đồ ngon ngọt cho bạn ăn.",1,0,0,1,0,0,0,1,0,1,0
"Nhiều người hỏi tôi yêu hay ăn quan trọng hơn, tôi không trả lời vì tôi đang bận nhai.",1,0,0,1,0,0,0,1,1,0,0
Ở đời lòng người thì thường không thơm ngon như lòng lợn!,1,0,0,0,0,0,0,1,1,0,0
"Ở đời, người duy nhất vì ta mà nhảy vào nước sôi lửa bỏng chỉ có mỳ tôm chứ không có ai khác",1,0,0,1,0,0,0,1,1,0,0
Ông trời tạo ra địa chấn. Và cái bụng mỡ của em chính là điểm nhấn.,1,0,0,0,1,0,0,0,1,0,0
Thanh xuân như một ly trà. Ăn vài miếng bánh hết bà thanh xuân,1,0,0,0,0,0,0,1,1,0,0
Độc thân không phải là ế mà đang tìm người tử tế để yêu.,0,0,1,0,1,0,0,0,0,0,0
"Một phụ nữ toàn diện là: Sáng diện, trưa diện, chiều diện, tối diện…",1,0,0,0,1,0,0,0,1,0,0
Ta về ta tắm ao ta. Dù trong dù đục cũng là cái ao.,1,0,0,0,0,0,0,0,1,0,1
Con đường ngắn nhất để đi từ một trái tim đến 1 trái tim là con đường truyền máu.,1,0,0,0,0,0,0,0,1,0,0
"Xin lỗi, có thể làm phiền em cười một cái không, cafe của anh đã quên thêm đường mất rồi.",1,0,0,1,0,0,0,1,0,1,0
Gương kia ngự ở trên tường…bao giờ ta gặp được người yêu ta… gương cười gương bảo lại rằng : “Mặt mày mà có người yêu tao quỳ”.,0,0,1,0,0,0,0,0,1,0,0
Nếu mỗi lần nhớ tới em anh được 500 đồng chắc giờ này anh đã vượt xa Bill Gates.,1,0,0,0,0,1,0,0,1,0,0
Mình thích thì mình yêu thôi. Có ai đưa em đi trốn không nào?,0,0,0,0,0,0,0,0,0,0,0
Đi xe máy bốc đầu sẽ nhanh về quê hương hơn nhưng mà về 2 lần 1 tháng,0,0,1,0,0,0,0,0,1,0,1
"Nhà anh có cái bàn thờ, đèn nhang có đủ chỉ chờ mỗi em",1,0,0,0,0,1,0,0,1,0,0
"Trên mạng em trắng nõn nà, ngoài đời em giống đàn bà châu phi",1,0,0,0,0,1,0,0,1,0,0
Lúc mới yêu tôi tưởng anh ý có tiền nhưng hóa ra là tiền án,0,1,0,0,1,0,0,0,1,0,0
"Trứng rán cần mỡ, bắp cần bơ. Yêu không cần cớ, cần cậu cơ.",1,0,0,0,1,0,0,0,0,1,0
"Bầu trời xanh, làn mây trắng Anh say nắng hay là anh say em.",0,0,1,1,0,0,0,0,0,1,0
Mẹ dặn em để ý việc học hành. Em nghe không rành nên toàn để ý anh.,0,0,1,0,1,0,0,0,0,1,0
"Hôm nay em học toán hình. Tròn vuông chẳng thấy, toàn hình bóng anh.",0,0,1,0,1,0,0,0,0,1,0
"Cha mẹ em sinh em khéo quá, nên gương mặt em mới giống hệt con dâu của mẹ anh.",0,0,1,1,0,0,0,0,0,1,0
Ngày nắng có làm anh lo lắng. Ngày mưa anh đã có người yêu chưa?,0,0,1,0,1,0,0,0,0,1,0
Người ta thì thích buổi chiều hoàng hôn buông. Còn em thì thích buổi chiều buồn hôn anh.,0,0,1,0,1,0,0,0,0,1,0
Cuộc sống thì giống cuộc đời. Còn anh thì giống bạn đời của em.,0,0,1,0,1,0,0,0,0,1,0
"Son thì màu đỏ, cỏ thì màu xanh, trời bắt đầu trở lạnh, mình yêu dần đi anh.",0,0,1,0,1,0,0,0,0,1,0
"Muốn bắt cọp thì vào sở thú, muốn tìm chỗ trú thì vào tim em.",0,0,1,0,1,0,0,0,0,1,0
Muốn mặn thì ăn muối còn muốn đắm đuối thì theo em.,0,0,1,0,1,0,0,0,0,1,0
"Trời lạnh quá, nhà không có lò sưởi, cần lắm tấm chăn 37 độ.",0,0,1,1,1,0,0,0,0,1,0
"Đông đến rồi, ai đó có lạnh không? Chứ anh thì sắp đóng băng rồi đây.",0,0,1,1,0,0,0,0,0,1,0
Không mơ cổ tích hoang đường. Chỉ xin giấc mộng bình thường có em.,0,0,1,1,0,0,0,0,0,1,0
"Trước năm 18 tuổi đức tin của anh chính là chúa, nhưng sau năm 18 tuổi đức tin của anh chính là em.",0,0,1,1,0,0,0,0,0,1,0
Thanh xuân như một chén trà. Đậm nhạt cũng được miễn là có anh.,0,0,1,0,1,0,0,0,0,1,0
"Tách ly dùng để uống trà. Tình ca để hát, em là để yêu.",0,0,1,1,0,0,0,0,0,1,0
Hoa hướng dương chỉ luôn hướng về một phía. Bông hoa ấy cũng giống như em vậy. Cả đời em cũng chỉ hướng về phía anh.,1,0,0,0,1,0,0,0,0,1,0
"Để đạt được cái gọi là hạnh phúc phúc cần một chút can đảm, cần 1 chút lòng tin và cần nhiều hơn sự cố gắng. Chỉ buồn là chưa cố gắng đã muốn dừng lại rồi.",0,1,0,0,1,0,0,0,0,1,0
Hình như em đang để điện thoại của mình ở chế độ rung hay sao ấy. Vì vừa nhìn thấy anh cả người em đã rung lên bần bật. Ô…mà em có xài điện thoại đâu nhỉ.,0,0,1,0,1,0,0,0,0,1,0
"Bên em thôi, đừng bên ai. Yêu em thôi, đừng thêm ai.",0,0,1,0,1,0,0,0,0,1,0
Anh sẽ kiện em vì tội cố tình gây thương nhớ và một ngày nào đó phiên tòa sẽ kết tội bằng một tờ giấy kết hôn,1,0,0,1,0,0,0,0,0,1,0
Sinh ra là con gái đã khổ. Nhưng chỉ cần chọn đúng người đàn ông của đời mình là mỉm cười hạnh phúc,0,0,1,0,1,0,0,0,0,1,0
"Nếu lá là những ôm ấp vuốt ve, anh sẽ tặng em cả rừng cây. ",1,0,0,1,0,0,0,0,0,1,0
"Nếu đêm dài là tình yêu, anh muốn gửi em cả trời sao lấp lánh.",1,0,0,1,0,0,0,0,0,1,0
"Nếu anh chịu nấu cơm cho em ăn một đời, em sẽ yêu anh cả kiếp.",0,0,1,0,1,0,0,0,0,1,0
Nhà em có bán rượu không mà nói chuyện với em anh say quá.,0,0,1,1,0,0,0,0,0,1,0
Trời chỉ đẹp khi trời còn nắng. Em chỉ vui khi em còn anh.,0,0,1,0,1,0,0,0,0,1,0
"Nơi con sống là đô thành phồn hoa. Nhưng lòng con vẫn luôn hướng về ngôi nhà nhỏ, về mẹ, về cha, hướng về gia đình ta.",1,0,0,1,0,0,0,0,0,0,1
Gia đình với con không chỉ là nơi đi đi về về. Mà đó với con chính là tổ ấm đầy sự yêu thương.,1,0,0,0,1,0,0,0,0,0,1
Con luôn mong thời gian có thể cho chậm đi để gia đình ta có thêm thời gian vui cười bên nhau.,0,1,0,0,1,0,0,0,0,0,1
"Duy chỉ có ở nơi gia đình, người ta mới tìm được chốn nương thân để chống lại những tai ương của số mệnh.",0,1,0,0,1,0,0,0,0,0,1
Tất cả kho báu trên Trái đất không thể nào sánh bằng hạnh phúc gia đình.,1,0,0,1,1,0,0,0,0,0,1
"Thứ đẹp nhất cũng là thứ đau khổ nhất đó chính là tình yêu! Thứ cao quý nhất, cũng là thứ ti tiện nhất chính là hôn nhân và gia đình.",0,1,0,0,1,0,0,0,0,1,1
"Linh hồn của gia đình êm dịu và nhân nghĩa cho kẻ nào yêu mến, kính trọng nó.",0,0,1,0,0,0,0,0,0,0,1
Tình yêu và sự quan tâm lo lắng của cha mẹ là món quá quý giá nhất mà con được tặng từ khi mới chào đời.,1,0,0,0,1,0,0,0,0,0,1
"Trong cuộc sống, đôi khi chúng ta dễ cảm kích với những hành động nhỏ mà một số người chung quanh làm cho chúng ta, nhưng đối với những người thân thuộc, nhất là cha mẹ, chúng ta lại xem sự hi sinh của họ như chuyện đương nhiên.",0,1,0,0,0,0,0,0,0,0,1
Kiếp trước còn tin con đã tu hành rất tốt nên kiếp này mới may mắn được làm con gái của mẹ.,1,0,0,0,1,0,0,0,0,0,1
"Gia đình là nơi không ai bỏ rơi ai và yêu thương ai đó vô điều kiện. Người ta có rất nhiều nơi để đến, nhưng chỉ có một chốn để quay về.",1,0,0,0,0,0,0,0,0,0,1
"Gia đình là trường học của lòng khoan dung, vì nó luôn tồn tại và dạy chúng ta cách sống với những người khác.",0,0,1,0,0,0,0,0,0,0,1
"Gia đình là lớp học đầu tiên dạy ta những câu nói đầu đời, và nó dạy cho ta biết thế nào là yêu thương, che chở và bao dung và chỉ có nơi này mới có thể có đủ lòng bao dung khi ta phạm phải những sai lầm, và đây cũng là nơi duy nhất để ta trở về sau những vấp ngã.",0,0,1,0,0,0,0,0,0,0,1
"Chúng ta thường hay coi trọng những thứ xung quanh, và thường mơ ước đến những thứ không thể với tới được nhưng lại không quan tâm đến những điều gần gũi nhất.",0,0,1,0,0,0,0,0,0,0,1
Bạn có thể có nhiều bạn bè nhưng bạn chỉ có duy nhất một gia đình.,0,0,1,0,0,0,0,0,0,0,1
Gia đình là điều quan trọng nhất trên thế giới này.,0,0,1,0,0,0,0,0,0,0,1
Không gì có thể bằng niềm vui gia đình.,0,0,1,0,0,0,0,0,0,0,1
"Không ai có thể sẵn sàng giúp đỡ bạn mà không hề do dự ngoài gia đình, dù bạn có thất bại bao nhiêu lần, dù bạn có sa sút như thế nào thì vẫn có gia đình luôn ở bên cạnh để giúp bạn chia sẻ những gánh nặng trong cuộc sống.",0,0,1,0,0,0,0,0,0,0,1
"Gia đình không phải là một điều quan trọng, mà nó là tất cả mọi thứ.",0,0,1,0,0,0,0,0,0,0,1
Trân trọng từng giây phút với những người bạn yêu thương trong mỗi giai đoạn của con đường đời.,0,0,1,0,0,0,0,0,0,0,1
"Trong tất cả những điều có thể tưởng tượng được, thì gia đình như là một đường kết nối với quá khứ và cây cầu nối tương lai.",0,0,1,0,0,0,0,0,0,0,1
Nhà không phải nơi trú ẩn tạm thời: điều cốt lõi của nó nằm trong tính cách của những người sống trong đó.,0,0,1,0,0,0,0,0,0,0,1
Gia đình là nơi mà khi nghĩ về bạn thấy tâm hồn mình thật bình yên…,0,0,1,0,0,0,0,0,0,0,1
Điều khác biệt giữa gia đình và xã hội chính là tình thương yêu.,0,0,1,0,0,0,0,0,0,0,1
Gia đình là nơi bạn có thể sống thật nhất mà không phải tạo cho mình một vỏ bọc nào cả.,0,0,1,0,0,0,0,0,0,0,1
"“Mỗi cây mỗi hoa – mỗi nhà mỗi cảnh” – Ai rồi cũng có cuộc sống gia đình của mình riêng, cho dù là trải qua bao nhiêu chuyện buồn đau trong gia đình nhưng gia đình chính là nơi tìm về của các bạn.",0,0,1,0,0,0,0,0,0,0,1
Đôi khi bạn thân cũ còn đau hơn là người yêu cũ,0,1,0,0,0,0,1,0,0,0,1
Thà rằng cô đơn vì không yêu ai cả. Chứ chẳng muốn bản thân yêu ai đó rồi mà vẫn thấy cô đơn! ,0,1,0,0,0,0,0,0,0,1,1
"Cần tin nhắn mỗi ngày, cần ai đó quan tâm để tôi biết mình đang được yêu thương.",0,1,0,0,0,0,0,0,0,1,0
"Đến đôi dép còn có đôi, mà sao mình vẫn lẻ chiếc.",0,1,0,0,0,0,0,0,0,1,0
Dù mùa đông có lạnh thế nào đi nữa cũng không lạnh bằng sự cô đơn vây kín tôi hằng đêm.,0,1,0,0,0,0,0,0,0,1,0
Đừng cãi lý với kẻ say. Đừng bắt tay với kẻ xấu. Đừng chiến đấu với kẻ liều. Đừng nói nhiều với kẻ ngu.,0,0,1,0,0,0,0,0,0,0,1
Người ta khiến bạn đau khổ là họ không tốt. Những đắm chìm trong đau khổ ấy hay không là quyền của bạn.,0,0,1,0,0,0,0,0,0,0,1
Nếu hôm nay cả thế giới quay lưng lại với bạn thì bạn cũng phải học cách tự yêu bản thân mình.,0,0,1,0,0,0,0,0,0,0,1
Phụ nữ đẹp nhất khi không thuộc về ai.,0,0,1,0,0,0,0,0,0,0,1
Không có người yêu cũng không sao cả. 20 tuổi là lúc cố gắng để khẳng định bản thân chứ không phải để thoát ế.,0,0,1,0,0,0,0,0,0,0,1
"Có người ghét bạn à, không sao. Càng có nhiều người ghét càng chứng tỏ bạn có điểm hơn họ.",0,0,1,0,0,0,0,0,0,0,1
"Yêu là tình nguyện quan tâm và chăm sóc. Còn yêu mà bi lụy thì không phải là yêu, chỉ là sự níu kéo vô nghĩa mà thôi.",0,0,1,0,0,0,0,0,0,0,1
Không có người yêu không phải vì tôi không đủ tốt. Đó là do không có ai đủ tốt để có được tôi.,0,0,1,0,0,0,0,0,0,0,1
"Cuộc đời quá nhiều thăng trầm, tình cảm đứt đoạn, buồn lắm nhưng vẫn phải vượt qua thôi.",0,0,1,0,0,0,0,0,0,0,1
Đừng cứ sống vì người khác. Hy sinh vì người khác. Nếu cứ vậy sau này bạn sẽ nhận ra người tổn thương nhất là mình.,0,0,1,0,0,0,0,0,0,0,1
"Đừng cầu xin cho một cuộc sống dễ dàng, Hãy cầu cho có sức mạnh để chịu đựng một cuộc sống khó khăn.",0,0,1,0,0,0,0,0,0,0,1
Hãy trân trọng những gì bạn đang có trước khi thời gian dạy cho bạn biết trân trọng những gì bạn đã có.,0,0,1,0,0,0,0,0,0,0,1
"Tình yêu không cần đúng sai, không cần thắng thua hay nắm buông. Quan trọng là có vì nhau mà níu giữ hay không !",0,0,1,0,0,0,0,0,0,0,1
"Tình yêu tìm được nhau đã khó, ở cạnh nhau lại càng không dễ. Buông tay dễ lắm, một người nói kết thúc, một người gật đầu, vậy là xong. Chứ nắm được mới là khó. Níu sao cho vừa, giữ sao cho chắc, vậy mới phải học một đời.",0,0,1,0,0,0,0,0,0,0,1
"Một cô gái thông minh sẽ chọn lựa cuộc sống độc thân thay vì bị lừa dối, phản bội và đối xử vô tâm….",0,0,1,0,0,0,0,0,0,0,1
"Tự dưng yêu, cũng có thể tự dưng hết yêu, có gì mà khó hiểu?",0,0,1,0,0,0,0,0,0,0,1
Cuộc hành trình dài ngàn dặm bắt đầu từ một bước chân nhỏ bé.,0,0,1,0,0,0,0,0,0,0,1
"Đừng chỉ học cách yêu ai đó thôi, hãy học cả cách yêu bản thân nữa.",0,0,1,0,0,0,0,0,0,0,1
Tôi chưa bao giờ tìm thấy người bạn đồng hành nào tốt hơn sự cô độc.,0,0,1,0,0,0,0,0,0,0,1
"Lúc đau buồn nên tìm một người bạn mà mình tin tưởng để trút tâm sự, không nên chịu đựng một mình. Đừng để nỗi buồn phải chứa cả nỗi cô đơn.",0,0,1,0,0,0,0,0,0,0,1
"Ở một mình không cô đơn, nhớ ai đó mới cô đơn.",0,0,1,0,0,0,0,0,0,1,1
"Nếu cuộc đời anh là một trò chơi xếp hình, em sẽ là mảnh ghép cuối cùng để hoàn thiện anh.",0,0,1,0,0,0,0,0,0,1,0
"Tình yêu không có lỗi, lỗi là do hai người yêu nhau mà không biết đến hai chữ VÌ NHAU.",0,0,1,0,0,0,0,0,0,1,0
Đôi khi chúng ta phải chấp nhận việc quên đi một số người trong quá khứ. Bởi vì một lý do đơn giản: họ không thuộc về tương lai của bạn.,0,0,1,0,0,0,0,0,0,1,0
Khi yêu sợ nhất là người ta vẫn nhận lời yêu nhưng trong tim họ mình không hề tồn tại.,0,0,1,0,0,0,0,0,0,1,0
Khi không còn vị trí đặc biệt trong lòng ai đó. Tốt nhất ta nên chọn cách im lặng và ra đi.,0,0,1,0,0,0,0,0,0,1,0
"Khi mà mọi sự xa cách đếm được vẫn chỉ là vấn đề thời gian và địa lí, chỉ sự cách xa lúc đo bằng kỷ niệm mới là khoảng không vĩnh viễn khó lấp đầy…thì chia tay, dù đau, nhưng chưa bao giờ là điều buồn nhất.",0,0,1,0,0,0,0,0,0,1,0
"Đừng mơ ước những ai ngoài tầm với, mây của trời…hãy để gió cuốn đi.",0,0,1,0,0,0,0,0,0,1,0
"Tình yêu không cần phải hoàn hảo, nó chỉ cần chân thật.",0,0,1,0,0,0,0,0,0,1,1
"Tôi không hối hận về quá khứ, nó làm tôi mạnh mẽ hơn, nhưng tôi hối hận vì khoảng thời gian mất đi tôi đã dành cho một người không đúng.",0,0,1,0,0,0,0,0,0,1,1
Nếu buông tay là mất tất cả. Liệu nắm chặt có giữ được gì không?,0,0,1,0,0,0,0,0,0,1,1
"Có một loại người vô cùng nghiện đi du lịch. Chỉ đơn giản là vì họ thích tự do, thích đi đó đi đây mà bỏ lại dòng đời xô bồ, phiền não.",1,0,0,0,0,0,0,0,0,0,0
Thế giới vô cùng rộng lớn và tươi đẹp. Vì thế nên em luôn muốn cố gắng hết sức để nhìn ngắm thế giới ấy. Nhưng bằng chính sức của mình chứ không dựa vào ai cả.,1,0,0,0,0,0,0,0,0,0,0
Nghe nói chăm đi du lịch rất có thể sẽ gặp được chân ái đời mình.,1,0,0,0,0,0,0,0,0,0,0
Bây giờ mong ước của cuộc đời em chỉ là kiếm thật nhiều tiền để đi du lịch cùng ba mẹ. Em chỉ muốn đối xử với bản thân và gia đình tốt một chút chứ không bận lòng chuyện yêu đương nữa.,1,0,0,0,0,0,0,0,0,0,0
Một trong những điều đáng tiếc của cuộc đời là trước năm 25 tuổi nhưng chưa từng đặt chân đi du lịch.,1,0,0,0,0,0,0,0,0,0,0
"Anh muốn làm một chuyến du lịch thật dài, liệu em có muốn làm bạn đồng hành của anh không?",1,0,0,0,0,0,0,0,0,0,0
Những chuyến đi xa sẽ giúp đầu óc chúng ta thảnh thơi. Khi ấy ta sẽ tạm thời quên đi những lo âu phiền muộn. Khi ấy ta sẽ cảm nhận được hạnh phúc thật thụ.,1,0,0,0,0,0,0,0,0,0,0
Người yêu Du lịch thực thụ là người không bao giờ chê bai quê hương của mình. Đó là người khi đi đâu xa cũng cảm thấy phong cảnh quê hương là đẹp nhất.,1,0,0,0,0,0,0,0,0,0,1
